coronal,sagittal,transversal
"(235, 247, 20)","(289, 242, 16)","(235, 288, 19)"
"(250, 218, 14)","(270, 217, 13)","(250, 257, 10)"
"(264, 249, 16)","(241, 250, 10)","(265, 309, 11)"
"(270, 248, 14)","(269, 239, 9)","(271, 276, 13)"
"(251, 219, 15)","(235, 249, 12)","(250, 242, 13)"
"(250, 259, 11)","(241, 260, 12)","(250, 236, 12)"
"(260, 187, 13)","(265, 188, 11)","(260, 258, 16)"
"(270, 221, 14)","(240, 220, 10)","(271, 252, 12)"
"(260, 240, 14)","(253, 238, 12)","(261, 252, 14)"
"(278, 232, 15)","(233, 232, 11)","(280, 268, 14)"
"(270, 233, 12)","(249, 233, 10)","(283, 243, 10)"
"(269, 236, 13)","(291, 236, 9)","(270, 273, 17)"
"(260, 245, 12)","(242, 245, 10)","(260, 246, 14)"
"(283, 237, 16)","(274, 231, 10)","(284, 289, 13)"
"(261, 232, 19)","(319, 228, 13)","(260, 310, 17)"
"(250, 236, 15)","(223, 233, 13)","(249, 271, 13)"
"(240, 205, 16)","(289, 204, 13)","(240, 297, 13)"
"(260, 209, 15)","(254, 208, 10)","(260, 283, 14)"
"(255, 233, 18)","(284, 228, 13)","(255, 257, 15)"
"(250, 225, 14)","(281, 223, 12)","(250, 284, 13)"
"(262, 222, 17)","(241, 214, 11)","(264, 252, 16)"
"(261, 248, 17)","(229, 242, 11)","(261, 280, 12)"
"(239, 220, 17)","(251, 218, 13)","(238, 299, 16)"
"(253, 258, 16)","(221, 252, 11)","(259, 242, 18)"
"(250, 226, 14)","(285, 226, 13)","(236, 262, 12)"
"(260, 216, 11)","(235, 217, 11)","(260, 251, 14)"
"(238, 237, 13)","(257, 237, 14)","(238, 248, 11)"
"(251, 230, 12)","(261, 230, 11)","(250, 250, 14)"
"(269, 216, 14)","(300, 215, 8)","(270, 296, 13)"
"(260, 259, 14)","(242, 239, 11)","(260, 272, 13)"
"(250, 234, 13)","(256, 235, 13)","(250, 268, 12)"
"(269, 250, 12)","(276, 251, 9)","(270, 266, 15)"
