coronal,sagittal,transversal
"(318, 308, 12)","(262, 308, 6)","(331, 249, 8)"
"(346, 167, 7)","(170, 172, 3)","(350, 180, 19)"
"(312, 241, 14)","(272, 239, 7)","(315, 281, 14)"
"(306, 268, 11)","(219, 255, 6)","(309, 245, 12)"
"(166, 297, 12)","(246, 298, 21)","(162, 223, 11)"
"(338, 249, 15)","(288, 249, 4)","(341, 290, 13)"
"(301, 235, 8)","(188, 257, 6)","(305, 180, 10)"
"(327, 266, 14)","(210, 265, 4)","(330, 258, 12)"
"(164, 257, 17)","(250, 255, 20)","(161, 297, 10)"
"(289, 275, 12)","(175, 276, 7)","(301, 178, 11)"
"(328, 263, 20)","(286, 257, 4)","(331, 312, 11)"
"(352, 261, 16)","(302, 257, 3)","(356, 295, 10)"
"(319, 260, 15)","(278, 260, 6)","(322, 273, 11)"
"(318, 262, 13)","(259, 261, 6)","(307, 263, 10)"
"(172, 234, 12)","(255, 234, 20)","(168, 247, 13)"
"(321, 248, 15)","(228, 244, 6)","(324, 249, 11)"
"(177, 251, 13)","(269, 238, 20)","(174, 257, 11)"
"(182, 237, 9)","(210, 240, 19)","(177, 226, 12)"
"(209, 261, 9)","(167, 226, 17)","(217, 165, 12)"
"(326, 254, 13)","(251, 252, 6)","(329, 256, 12)"
"(350, 245, 12)","(260, 246, 3)","(354, 256, 11)"
"(187, 268, 15)","(278, 259, 19)","(186, 281, 10)"
"(174, 249, 11)","(236, 275, 18)","(174, 241, 10)"
"(172, 241, 10)","(238, 242, 20)","(168, 234, 14)"
"(361, 258, 16)","(294, 248, 1)","(366, 284, 13)"
"(166, 277, 14)","(249, 274, 20)","(163, 246, 13)"
"(190, 286, 12)","(210, 286, 19)","(188, 214, 10)"
"(227, 220, 5)","(184, 223, 14)","(226, 194, 14)"
"(335, 263, 12)","(239, 258, 5)","(338, 242, 13)"
"(172, 227, 15)","(255, 223, 20)","(168, 283, 13)"
"(182, 284, 13)","(266, 286, 19)","(178, 262, 9)"
"(348, 217, 12)","(257, 219, 3)","(352, 249, 14)"
"(305, 262, 12)","(224, 266, 7)","(308, 232, 11)"
"(323, 246, 13)","(230, 235, 4)","(340, 237, 14)"
"(341, 280, 17)","(278, 279, 3)","(345, 270, 11)"
"(353, 271, 14)","(255, 253, 2)","(358, 262, 11)"
"(333, 252, 13)","(258, 252, 4)","(336, 248, 13)"
"(190, 248, 16)","(229, 252, 19)","(190, 268, 11)"
"(193, 274, 13)","(224, 275, 18)","(186, 247, 8)"
"(168, 273, 13)","(228, 267, 21)","(148, 198, 11)"
"(172, 229, 15)","(246, 228, 21)","(169, 274, 13)"
"(340, 274, 17)","(272, 253, 4)","(345, 305, 10)"
"(343, 266, 14)","(277, 266, 4)","(347, 280, 11)"
"(303, 233, 6)","(199, 236, 7)","(302, 178, 12)"
"(340, 213, 12)","(240, 213, 4)","(344, 250, 15)"
"(332, 235, 10)","(258, 230, 4)","(335, 234, 14)"
"(320, 252, 10)","(232, 253, 6)","(324, 239, 14)"
"(146, 261, 17)","(271, 263, 23)","(146, 308, 11)"
"(324, 245, 12)","(250, 246, 5)","(328, 242, 13)"
"(186, 209, 9)","(227, 210, 19)","(183, 215, 15)"
"(181, 246, 12)","(252, 243, 19)","(179, 244, 13)"
"(168, 257, 13)","(237, 249, 20)","(164, 240, 14)"
"(316, 269, 17)","(233, 271, 6)","(318, 276, 12)"
"(165, 257, 15)","(237, 258, 20)","(160, 239, 13)"
"(208, 249, 9)","(188, 229, 17)","(201, 196, 10)"
"(195, 250, 11)","(242, 251, 18)","(193, 247, 12)"
"(171, 264, 11)","(238, 254, 20)","(169, 236, 13)"
"(185, 248, 12)","(183, 247, 18)","(181, 221, 11)"
"(374, 232, 12)","(259, 233, 0)","(379, 254, 15)"
"(279, 173, 5)","(195, 174, 10)","(279, 175, 20)"
"(175, 232, 11)","(216, 230, 19)","(158, 217, 15)"
"(318, 270, 10)","(223, 265, 6)","(321, 211, 10)"
"(315, 182, 16)","(292, 176, 5)","(318, 300, 19)"
"(171, 222, 12)","(241, 226, 20)","(168, 265, 15)"
"(189, 247, 13)","(270, 246, 18)","(186, 266, 10)"
"(337, 263, 9)","(193, 262, 3)","(341, 202, 11)"
"(343, 229, 10)","(234, 236, 4)","(347, 234, 14)"
"(272, 216, 11)","(244, 216, 10)","(273, 217, 13)"
"(312, 258, 14)","(231, 246, 6)","(314, 270, 12)"
"(321, 263, 11)","(233, 263, 6)","(323, 237, 10)"
"(340, 242, 11)","(255, 241, 3)","(338, 230, 14)"
"(145, 289, 17)","(250, 282, 22)","(131, 257, 9)"
"(319, 258, 11)","(241, 251, 6)","(320, 235, 13)"
"(277, 255, 8)","(142, 260, 10)","(280, 141, 15)"
