coronal,sagittal,transversal
"(217, 163, -2)","(93, 171, 15)","(218, 89, 18)"
"(291, 167, 3)","(89, 173, 9)","(292, 152, 17)"
"(310, 192, 0)","(127, 197, 7)","(312, 128, 19)"
"(281, 155, 2)","(119, 163, 10)","(281, 128, 20)"
"(303, 168, 1)","(133, 169, 8)","(304, 138, 20)"
"(209, 164, -1)","(101, 171, 17)","(207, 104, 20)"
"(314, 154, 0)","(111, 168, 6)","(317, 119, 21)"
"(207, 150, -1)","(123, 153, 17)","(206, 119, 20)"
"(319, 141, 1)","(128, 139, 6)","(322, 114, 20)"
"(302, 167, 2)","(132, 176, 8)","(303, 148, 21)"
"(306, 196, 2)","(118, 204, 7)","(308, 142, 19)"
"(286, 173, 3)","(77, 191, 9)","(288, 130, 19)"
"(224, 165, 0)","(106, 170, 14)","(223, 130, 18)"
"(313, 169, 1)","(112, 183, 6)","(321, 112, 21)"
"(236, 160, -1)","(110, 166, 14)","(234, 117, 21)"
"(255, 178, 2)","(124, 187, 12)","(255, 146, 18)"
"(233, 143, 4)","(76, 150, 14)","(232, 134, 20)"
"(221, 186, 0)","(115, 193, 16)","(218, 121, 20)"
"(232, 172, 3)","(131, 184, 15)","(231, 141, 19)"
"(221, 157, -1)","(119, 133, 16)","(220, 118, 20)"
"(271, 141, -2)","(101, 143, 11)","(272, 108, 23)"
"(294, 143, 0)","(67, 148, 9)","(294, 124, 20)"
"(295, 185, 2)","(67, 197, 8)","(296, 118, 19)"
"(292, 131, 1)","(107, 145, 8)","(294, 136, 22)"
"(216, 172, 1)","(145, 175, 16)","(215, 124, 18)"
"(293, 136, 0)","(97, 147, 8)","(298, 119, 22)"
"(226, 145, 1)","(131, 150, 15)","(225, 129, 23)"
"(212, 158, 0)","(106, 189, 16)","(210, 105, 19)"
"(206, 179, 1)","(133, 192, 18)","(204, 125, 21)"
"(300, 183, 0)","(110, 186, 8)","(302, 114, 21)"
"(294, 145, 1)","(110, 155, 8)","(296, 130, 21)"
"(277, 118, 1)","(116, 145, 10)","(279, 126, 20)"
"(213, 169, 3)","(146, 169, 17)","(212, 134, 14)"
"(316, 168, 1)","(127, 175, 6)","(319, 134, 20)"
"(205, 172, 3)","(92, 179, 16)","(205, 139, 20)"
"(274, 146, 2)","(133, 145, 9)","(275, 141, 23)"
"(284, 153, 0)","(109, 164, 10)","(285, 123, 21)"
"(225, 137, 0)","(97, 149, 15)","(224, 95, 22)"
"(297, 150, 0)","(53, 152, 8)","(306, 99, 21)"
"(209, 177, 1)","(71, 184, 17)","(208, 118, 18)"
"(217, 188, 1)","(129, 194, 16)","(215, 125, 19)"
"(212, 144, 0)","(97, 157, 17)","(210, 128, 22)"
"(256, 153, -2)","(110, 157, 12)","(256, 108, 21)"
"(279, 160, 3)","(75, 163, 10)","(280, 132, 19)"
"(197, 136, -1)","(91, 144, 17)","(195, 115, 21)"
"(204, 191, 2)","(74, 196, 16)","(202, 108, 18)"
"(283, 162, 1)","(112, 173, 9)","(285, 126, 20)"
"(199, 159, 2)","(134, 165, 18)","(194, 138, 20)"
"(234, 104, 4)","(116, 174, 14)","(231, 115, 20)"
"(220, 173, 1)","(104, 177, 14)","(217, 108, 19)"
"(206, 163, 2)","(149, 158, 17)","(204, 152, 19)"
"(314, 164, 0)","(123, 169, 6)","(317, 109, 18)"
"(237, 158, 1)","(127, 164, 14)","(237, 116, 22)"
"(221, 191, 2)","(116, 194, 15)","(219, 100, 20)"
"(267, 180, 4)","(97, 186, 10)","(267, 139, 18)"
"(285, 201, 2)","(153, 205, 10)","(286, 149, 18)"
"(290, 159, 2)","(128, 178, 9)","(291, 149, 21)"
"(243, 173, 1)","(129, 162, 13)","(249, 125, 19)"
"(283, 167, 0)","(73, 207, 9)","(285, 135, 19)"
"(234, 119, 1)","(129, 124, 14)","(233, 116, 23)"
"(262, 158, 1)","(131, 162, 12)","(263, 138, 21)"
"(290, 180, 0)","(130, 181, 9)","(292, 121, 17)"
"(275, 178, 4)","(121, 181, 9)","(276, 144, 19)"
"(245, 122, 2)","(134, 122, 14)","(222, 131, 23)"
"(296, 180, 6)","(85, 179, 6)","(302, 146, 19)"
"(256, 168, 3)","(96, 175, 11)","(257, 117, 21)"
"(275, 180, 2)","(63, 182, 9)","(282, 134, 17)"
"(282, 116, 2)","(136, 121, 9)","(283, 141, 23)"
"(220, 178, 1)","(133, 186, 15)","(216, 126, 19)"
"(241, 165, 6)","(154, 170, 14)","(240, 161, 20)"
"(297, 166, 2)","(149, 168, 8)","(298, 143, 20)"
"(214, 108, -1)","(90, 105, 15)","(218, 111, 26)"
"(286, 112, 2)","(133, 106, 9)","(288, 139, 23)"
"(267, 159, 1)","(77, 170, 11)","(271, 117, 20)"
"(288, 135, 0)","(70, 140, 8)","(289, 115, 21)"
"(236, 175, 1)","(131, 181, 14)","(235, 122, 21)"
"(283, 116, 0)","(106, 139, 9)","(284, 105, 21)"
"(274, 183, 1)","(113, 182, 9)","(271, 109, 19)"
"(268, 132, 0)","(134, 143, 11)","(269, 124, 22)"
"(305, 160, 1)","(74, 179, 6)","(257, 70, 20)"
"(280, 156, 3)","(118, 159, 10)","(276, 114, 19)"
"(259, 225, 3)","(128, 234, 10)","(263, 129, 16)"
"(289, 179, 1)","(131, 181, 9)","(291, 132, 21)"
"(235, 196, 0)","(141, 205, 14)","(235, 127, 20)"
"(243, 138, 1)","(86, 138, 15)","(233, 88, 22)"
"(291, 162, 4)","(86, 162, 8)","(295, 137, 20)"
"(234, 144, 3)","(149, 149, 14)","(232, 147, 20)"
"(294, 179, 0)","(122, 177, 9)","(278, 112, 19)"
"(252, 95, 3)","(136, 103, 13)","(246, 129, 24)"
"(300, 176, 1)","(145, 180, 8)","(302, 143, 20)"
"(252, 177, 2)","(111, 178, 12)","(242, 113, 22)"
"(268, 184, 1)","(130, 192, 11)","(268, 135, 18)"
"(266, 155, 0)","(145, 161, 11)","(267, 107, 20)"
"(228, 121, 2)","(112, 134, 15)","(227, 149, 25)"
"(236, 126, 2)","(149, 129, 13)","(235, 140, 23)"
"(289, 174, 0)","(127, 180, 9)","(276, 140, 19)"
"(278, 173, 3)","(111, 185, 10)","(280, 136, 20)"
"(288, 208, 3)","(82, 221, 9)","(289, 149, 16)"
"(226, 161, 3)","(147, 162, 15)","(225, 152, 21)"
"(214, 139, 3)","(103, 139, 15)","(204, 146, 22)"
"(201, 189, 2)","(135, 171, 16)","(199, 139, 19)"
"(237, 208, 1)","(71, 202, 14)","(236, 130, 18)"
"(289, 195, 2)","(99, 165, 10)","(276, 100, 18)"
"(290, 117, 2)","(80, 128, 9)","(292, 109, 23)"
"(283, 169, -1)","(100, 181, 10)","(285, 68, 19)"
"(301, 149, 3)","(150, 159, 8)","(303, 150, 18)"
"(247, 139, 3)","(74, 145, 12)","(247, 134, 21)"
"(217, 134, -2)","(100, 145, 16)","(215, 98, 20)"
"(269, 210, 4)","(140, 225, 10)","(276, 150, 17)"
"(275, 155, 1)","(110, 169, 10)","(278, 139, 20)"
"(284, 106, 2)","(89, 112, 9)","(285, 113, 22)"
"(223, 138, 1)","(93, 154, 15)","(222, 113, 21)"
"(252, 131, 2)","(116, 124, 12)","(256, 112, 23)"
"(275, 162, 2)","(79, 164, 10)","(276, 143, 21)"
"(248, 190, 3)","(154, 191, 13)","(248, 159, 19)"
"(239, 191, 0)","(132, 196, 14)","(239, 119, 17)"
"(249, 155, 3)","(157, 159, 13)","(249, 154, 21)"
"(220, 195, 1)","(98, 204, 15)","(217, 111, 18)"
"(308, 193, 1)","(139, 199, 7)","(310, 138, 19)"
"(324, 199, 1)","(103, 199, 5)","(326, 102, 19)"
"(280, 191, 4)","(140, 201, 9)","(281, 141, 16)"
"(285, 193, 2)","(101, 205, 7)","(293, 106, 19)"
"(285, 153, 0)","(115, 161, 8)","(283, 111, 21)"
"(195, 187, 0)","(70, 198, 17)","(193, 122, 19)"
"(302, 177, 0)","(117, 184, 7)","(304, 99, 19)"
"(300, 187, 1)","(93, 182, 7)","(310, 99, 19)"
"(311, 166, 0)","(56, 151, 6)","(313, 84, 18)"
"(246, 190, 0)","(89, 187, 12)","(249, 91, 17)"
"(202, 176, 1)","(128, 184, 17)","(201, 117, 20)"
"(244, 145, -1)","(114, 165, 12)","(243, 114, 22)"
"(229, 183, -1)","(109, 192, 14)","(228, 120, 18)"
"(230, 212, 0)","(137, 218, 15)","(229, 93, 18)"
"(204, 145, -3)","(92, 148, 17)","(202, 99, 21)"
"(216, 171, 1)","(90, 176, 16)","(215, 89, 20)"
"(221, 145, 0)","(103, 152, 14)","(217, 115, 21)"
"(226, 188, 0)","(116, 196, 14)","(225, 114, 17)"
"(242, 181, 1)","(141, 182, 13)","(241, 146, 19)"
"(235, 211, 1)","(136, 214, 14)","(234, 140, 18)"
"(296, 157, 0)","(123, 151, 9)","(296, 98, 21)"
"(211, 220, 2)","(96, 217, 17)","(214, 122, 16)"
"(293, 176, 1)","(114, 181, 8)","(301, 103, 20)"
"(229, 161, 3)","(138, 166, 15)","(228, 131, 19)"
"(209, 201, 4)","(98, 201, 16)","(207, 160, 18)"
"(219, 166, -3)","(97, 173, 15)","(218, 107, 19)"
"(252, 156, 1)","(131, 167, 13)","(251, 141, 21)"
"(278, 143, 3)","(133, 143, 9)","(279, 127, 20)"
"(235, 161, 2)","(119, 170, 13)","(240, 126, 20)"
"(289, 183, 0)","(121, 178, 8)","(288, 123, 17)"
"(240, 159, 4)","(125, 167, 14)","(239, 117, 19)"
"(250, 142, 0)","(127, 148, 13)","(250, 120, 20)"
"(160, 186, 3)","(76, 183, 20)","(173, 91, 19)"
"(227, 188, 0)","(122, 191, 15)","(224, 126, 18)"
"(244, 154, 3)","(154, 182, 13)","(244, 162, 20)"
"(306, 166, 2)","(147, 172, 7)","(308, 147, 21)"
"(300, 138, 3)","(110, 143, 7)","(310, 111, 23)"
"(306, 136, 4)","(156, 139, 7)","(309, 146, 20)"
"(288, 165, 0)","(135, 171, 8)","(290, 124, 19)"
"(260, 216, 1)","(103, 225, 12)","(261, 92, 17)"
"(251, 159, 0)","(127, 166, 12)","(251, 129, 20)"
"(260, 203, 5)","(158, 201, 12)","(261, 172, 15)"
"(279, 208, 3)","(152, 206, 10)","(279, 147, 16)"
"(255, 148, 3)","(101, 158, 12)","(256, 129, 18)"
"(245, 186, 2)","(68, 191, 13)","(247, 138, 18)"
"(223, 188, 3)","(120, 194, 15)","(221, 133, 17)"
"(251, 178, 5)","(157, 172, 12)","(257, 149, 18)"
"(239, 177, 1)","(146, 177, 14)","(239, 136, 20)"
"(218, 169, 3)","(146, 178, 15)","(217, 151, 21)"
"(277, 158, 3)","(90, 162, 10)","(311, 145, 19)"
"(264, 182, 4)","(129, 182, 11)","(264, 120, 18)"
"(280, 182, 4)","(147, 179, 11)","(262, 155, 17)"
"(295, 166, 5)","(159, 181, 8)","(297, 169, 19)"
"(225, 267, 8)","(203, 270, 15)","(224, 184, 13)"
"(223, 181, 5)","(123, 184, 14)","(220, 138, 18)"
"(279, 184, 3)","(141, 193, 10)","(280, 162, 17)"
"(212, 167, 7)","(128, 167, 16)","(210, 196, 20)"
"(218, 181, 3)","(144, 189, 15)","(224, 145, 18)"
"(245, 203, 2)","(131, 178, 13)","(245, 151, 16)"
"(245, 215, 4)","(123, 218, 12)","(244, 143, 16)"
"(261, 157, 3)","(165, 159, 12)","(261, 156, 21)"
"(224, 186, 1)","(101, 223, 14)","(226, 120, 19)"
"(298, 150, 0)","(125, 152, 7)","(299, 125, 21)"
"(251, 181, 2)","(122, 185, 11)","(262, 122, 18)"
"(222, 158, 1)","(141, 169, 15)","(220, 131, 18)"
"(275, 175, 0)","(85, 175, 10)","(310, 86, 20)"
"(205, 168, 0)","(126, 170, 17)","(205, 120, 20)"
"(253, 173, 3)","(147, 175, 13)","(252, 139, 21)"
"(276, 119, 2)","(129, 123, 10)","(277, 147, 21)"
"(255, 159, 4)","(152, 150, 12)","(254, 147, 20)"
"(253, 146, 4)","(102, 149, 12)","(253, 155, 21)"
"(260, 138, 1)","(121, 137, 12)","(260, 125, 22)"
"(248, 138, 3)","(101, 165, 13)","(240, 148, 20)"
"(251, 155, 3)","(126, 169, 13)","(251, 157, 22)"
"(282, 192, 1)","(143, 199, 9)","(286, 129, 20)"
"(247, 137, 2)","(90, 138, 12)","(247, 127, 20)"
"(234, 167, 2)","(137, 171, 14)","(233, 131, 21)"
"(274, 155, 4)","(131, 151, 10)","(276, 154, 19)"
"(195, 157, -1)","(107, 162, 18)","(193, 113, 21)"
"(275, 169, 3)","(129, 167, 9)","(273, 131, 20)"
"(276, 215, 3)","(160, 193, 9)","(283, 154, 19)"
"(285, 144, 0)","(118, 143, 10)","(285, 128, 21)"
"(233, 191, 3)","(94, 190, 14)","(231, 97, 19)"
"(309, 158, 0)","(104, 187, 6)","(311, 119, 19)"
"(221, 167, 1)","(120, 174, 15)","(220, 125, 20)"
"(301, 144, -1)","(125, 151, 8)","(303, 107, 22)"
"(266, 154, 2)","(116, 166, 11)","(267, 135, 18)"
"(221, 164, 2)","(129, 164, 16)","(212, 107, 20)"
"(226, 183, 1)","(132, 186, 16)","(226, 128, 19)"
"(313, 155, 1)","(99, 178, 7)","(315, 112, 18)"
"(218, 143, -1)","(80, 147, 15)","(217, 68, 27)"
"(359, 177, 4)","(106, 176, 2)","(359, 149, 18)"
"(203, 176, 2)","(119, 181, 17)","(198, 114, 18)"
"(204, 152, 2)","(108, 158, 17)","(201, 143, 21)"
"(262, 136, 2)","(113, 146, 11)","(262, 105, 21)"
"(215, 153, 2)","(75, 150, 17)","(207, 79, 21)"
"(215, 178, 2)","(105, 186, 16)","(213, 144, 19)"
"(232, 215, 1)","(132, 212, 15)","(230, 101, 17)"
"(215, 202, 2)","(114, 202, 16)","(214, 103, 17)"
"(215, 159, 1)","(122, 168, 17)","(203, 123, 20)"
"(213, 182, -1)","(101, 183, 16)","(211, 125, 18)"
"(278, 177, -3)","(53, 178, 10)","(279, 94, 21)"
"(211, 174, 0)","(124, 178, 17)","(209, 131, 21)"
"(304, 167, 4)","(125, 178, 7)","(306, 129, 18)"
"(294, 182, 2)","(158, 184, 8)","(295, 144, 18)"
"(262, 160, 4)","(131, 165, 10)","(262, 136, 20)"
"(224, 159, 0)","(100, 190, 15)","(221, 85, 22)"
"(214, 159, 2)","(129, 159, 16)","(212, 144, 21)"
"(283, 161, 1)","(142, 175, 9)","(286, 136, 20)"
"(238, 170, 3)","(150, 178, 13)","(237, 143, 20)"
"(238, 194, -1)","(98, 198, 13)","(239, 96, 19)"
"(229, 171, 1)","(138, 176, 15)","(228, 147, 21)"
"(236, 162, 1)","(123, 169, 14)","(234, 65, 20)"
"(293, 160, -1)","(116, 173, 9)","(295, 124, 21)"
"(202, 173, 1)","(108, 174, 17)","(200, 107, 19)"
"(204, 190, 1)","(123, 175, 17)","(202, 137, 17)"
"(266, 131, 1)","(129, 130, 10)","(269, 129, 22)"
"(184, 161, 3)","(99, 161, 18)","(183, 156, 20)"
"(273, 157, 1)","(134, 158, 11)","(274, 143, 19)"
"(212, 190, -1)","(107, 198, 16)","(213, 97, 19)"
"(231, 180, 3)","(137, 186, 14)","(229, 153, 18)"
"(257, 171, 3)","(114, 171, 12)","(241, 152, 20)"
"(223, 152, 2)","(108, 163, 16)","(222, 149, 20)"
"(269, 145, 1)","(101, 163, 11)","(270, 92, 22)"
"(200, 180, 1)","(111, 187, 17)","(210, 124, 19)"
"(215, 222, 2)","(150, 238, 16)","(214, 150, 17)"
"(218, 150, 1)","(134, 136, 14)","(217, 126, 21)"
"(203, 163, -3)","(94, 173, 17)","(203, 81, 19)"
"(307, 154, -1)","(107, 167, 7)","(310, 115, 20)"
"(204, 140, 1)","(126, 140, 17)","(202, 119, 20)"
"(212, 198, 1)","(123, 197, 17)","(209, 125, 18)"
"(293, 136, 2)","(69, 145, 8)","(295, 139, 20)"
"(222, 185, 3)","(162, 181, 16)","(221, 145, 20)"
"(271, 142, 3)","(142, 145, 11)","(272, 150, 21)"
"(238, 191, 1)","(126, 204, 14)","(238, 133, 19)"
"(350, 136, 1)","(140, 138, 3)","(354, 134, 21)"
"(317, 185, 0)","(111, 184, 6)","(316, 107, 18)"
"(236, 178, 0)","(65, 180, 14)","(235, 72, 18)"
"(347, 159, 0)","(109, 166, 3)","(351, 120, 20)"
"(293, 180, -2)","(69, 194, 9)","(295, 105, 18)"
"(300, 160, -1)","(77, 169, 8)","(301, 111, 21)"
"(234, 218, -1)","(101, 214, 15)","(236, 83, 15)"
"(201, 174, 1)","(122, 181, 18)","(198, 94, 19)"
"(296, 174, 1)","(87, 180, 9)","(298, 141, 20)"
"(209, 190, 2)","(93, 201, 16)","(211, 124, 20)"
"(274, 191, 2)","(128, 195, 10)","(274, 144, 16)"
"(209, 182, 1)","(146, 186, 17)","(206, 147, 20)"
"(296, 174, -2)","(106, 178, 8)","(298, 97, 19)"
"(252, 149, 0)","(121, 155, 12)","(252, 110, 19)"
"(292, 180, 4)","(124, 178, 9)","(293, 133, 19)"
"(293, 136, -1)","(105, 146, 9)","(295, 103, 21)"
"(295, 167, 3)","(119, 174, 8)","(300, 131, 18)"
"(233, 174, 1)","(134, 177, 14)","(232, 128, 18)"
"(206, 197, -1)","(79, 201, 17)","(204, 71, 18)"
"(280, 158, -3)","(39, 146, 10)","(275, 65, 20)"
"(296, 176, -4)","(85, 188, 7)","(298, 89, 20)"
"(200, 177, 1)","(91, 160, 18)","(198, 134, 18)"
"(243, 169, 0)","(104, 167, 13)","(246, 100, 18)"
"(277, 186, -1)","(93, 195, 10)","(278, 100, 21)"
"(234, 166, -2)","(72, 168, 15)","(230, 107, 18)"
"(273, 199, -3)","(67, 196, 10)","(274, 59, 18)"
"(211, 137, -2)","(37, 169, 16)","(209, 110, 20)"
"(238, 141, -4)","(42, 163, 14)","(238, 64, 18)"
"(267, 153, -1)","(125, 157, 11)","(268, 113, 20)"
"(241, 186, -1)","(96, 188, 14)","(241, 89, 17)"
"(231, 132, 1)","(70, 140, 14)","(229, 110, 21)"
"(317, 172, 2)","(98, 183, 6)","(320, 141, 20)"
"(208, 203, 0)","(97, 207, 18)","(193, 86, 17)"
"(294, 157, 0)","(113, 170, 8)","(295, 114, 21)"
"(222, 173, 2)","(128, 180, 16)","(221, 136, 20)"
"(309, 157, -2)","(100, 166, 7)","(311, 105, 20)"
"(259, 172, 0)","(99, 173, 11)","(260, 93, 21)"
"(299, 158, 1)","(115, 171, 8)","(301, 125, 19)"
"(207, 164, -4)","(83, 179, 17)","(204, 86, 19)"
"(208, 135, -3)","(86, 145, 16)","(207, 82, 21)"
"(223, 127, -1)","(123, 123, 15)","(221, 103, 21)"
"(216, 175, 3)","(95, 185, 16)","(207, 113, 18)"
"(213, 194, 2)","(107, 200, 16)","(212, 154, 18)"
"(203, 178, 1)","(76, 194, 17)","(200, 115, 19)"
"(214, 139, 2)","(140, 140, 16)","(211, 145, 20)"
"(222, 154, 0)","(60, 177, 15)","(221, 76, 20)"
"(306, 164, -1)","(96, 173, 7)","(308, 86, 19)"
"(205, 158, 1)","(144, 164, 18)","(202, 139, 21)"
"(236, 161, 1)","(72, 149, 14)","(249, 69, 19)"
